add-none,2,100,400,177027,442,0
add-none,2,1000,4000,167242,41,0
add-none,2,10000,40000,613851,15,43
add-none,2,100000,400000,4313230,10,36
add-none,4,100,800,214344,267,0
add-none,4,1000,8000,270955,33,1
add-none,4,10000,80000,1149165,14,39
add-none,4,100000,800000,11485784,14,255
add-none,8,100,1600,322390,201,0
add-none,8,1000,16000,413142,25,13
add-none,8,10000,160000,2423014,15,23
add-none,8,100000,1600000,22536639,14,391
add-none,12,100,2400,423846,176,0
add-none,12,1000,24000,593825,24,12
add-none,12,10000,240000,3458554,14,60
add-none,12,100000,2400000,33763744,14,363
add-yield-none,2,10,40,186232,4655,0
add-yield-none,2,20,80,206807,2585,1
add-yield-none,2,40,160,238915,1493,0
add-yield-none,2,80,320,318254,994,0
add-yield-none,2,100,400,358517,896,1
add-yield-none,2,1000,4000,2114889,528,0
add-yield-none,2,10000,40000,19209517,480,1
add-yield-none,2,100000,400000,188905260,472,1
add-yield-none,4,10,80,230506,2881,0
add-yield-none,4,20,160,238764,1492,0
add-yield-none,4,40,320,265291,829,0
add-yield-none,4,80,640,359698,562,1
add-yield-none,4,100,800,386383,482,1
add-yield-none,4,1000,8000,2074160,259,0
add-yield-none,4,10000,80000,19549983,244,1
add-yield-none,4,100000,800000,191222845,239,4
add-yield-none,8,10,160,330233,2063,1
add-yield-none,8,20,320,311659,973,2
add-yield-none,8,40,640,341667,533,0
add-yield-none,8,80,1280,424814,331,2
add-yield-none,8,100,1600,495530,309,1
add-yield-none,8,1000,16000,2309461,144,1
add-yield-none,8,10000,160000,20770592,129,2
add-yield-none,8,100000,1600000,203475781,127,17
add-yield-none,12,10,240,426272,1776,2
add-yield-none,12,20,480,430117,896,4
add-yield-none,12,40,960,445864,464,2
add-yield-none,12,80,1920,565098,294,4
add-yield-none,12,100,2400,618437,257,2
add-yield-none,12,1000,24000,2927935,121,2
add-yield-none,12,10000,240000,25954288,108,4
add-yield-none,12,100000,2400000,266202310,110,64
add-none,2,100,400,168381,420,0
add-yield-none,2,100,400,347311,868,1
add-none,2,1000,4000,167814,41,0
add-yield-none,2,1000,4000,2010844,502,1
add-none,2,10000,40000,685929,17,6
add-yield-none,2,10000,40000,19566580,489,1
add-none,2,100000,400000,4881348,12,133
add-yield-none,2,100000,400000,188632740,471,11
add-none,8,100,1600,351935,219,0
add-yield-none,8,100,1600,491310,307,1
add-none,8,1000,16000,417280,26,3
add-yield-none,8,1000,16000,2289024,143,1
add-none,8,10000,160000,2378456,14,31
add-yield-none,8,10000,160000,21126354,132,1
add-none,8,100000,1600000,22137908,13,285
add-yield-none,8,100000,1600000,207328593,129,8
add-none,1,10,20,175466,8773,0
add-none,1,20,40,140947,3523,0
add-none,1,40,80,144167,1802,0
add-none,1,80,160,138406,865,0
add-none,1,100,200,164922,824,0
add-none,1,1000,2000,170241,85,0
add-none,1,10000,20000,277818,13,0
add-none,1,100000,200000,1292992,6,0
add-none,1,1000000,2000000,12841932,6,0
add-yield-m,2,10000,40000,55339595,1383,0
add-yield-c,2,10000,40000,39671976,991,0
add-yield-s,2,1000,4000,3758011,939,0
add-yield-m,4,10000,80000,139003491,1737,0
add-yield-c,4,10000,80000,72314837,903,0
add-yield-s,4,1000,8000,10295884,1286,0
add-yield-m,8,10000,160000,266169076,1663,0
add-yield-c,8,10000,160000,131152212,819,0
add-yield-s,8,1000,16000,26230338,1639,0
add-yield-m,12,10000,240000,447276771,1863,0
add-yield-c,12,10000,240000,186274399,776,0
add-yield-s,12,1000,24000,49802973,2075,0
add-none,1,10000,20000,270301,13,0
add-m,1,10000,20000,820070,41,0
add-c,1,10000,20000,556395,27,0
add-s,1,10000,20000,450092,22,0
add-none,2,10000,40000,625818,15,3
add-m,2,10000,40000,3972753,99,0
add-c,2,10000,40000,2389523,59,0
add-s,2,10000,40000,3632172,90,0
add-none,4,10000,80000,1252509,15,7
add-m,4,10000,80000,15519832,193,0
add-c,4,10000,80000,6850022,85,0
add-s,4,10000,80000,16799781,209,0
add-none,8,10000,160000,2413938,15,35
add-m,8,10000,160000,33229820,207,0
add-c,8,10000,160000,14841306,92,0
add-s,8,10000,160000,70552460,440,0
add-none,12,10000,240000,3381956,14,49
add-m,12,10000,240000,47383472,197,0
add-c,12,10000,240000,22728379,94,0
add-s,12,10000,240000,130633185,544,0
