list-none-none,1,10,1,30,105987,3532
list-none-none,1,100,1,300,162517,541
list-none-none,1,1000,1,3000,3808789,1269
list-none-none,1,10000,1,30000,706891864,23563
list-none-none,1,20000,1,60000,3791297036,63188
list-none-none,2,1,1,6,106399,17733
list-none-none,2,10,1,60,117612,1960
list-none-none,2,100,1,600,424399,707
list-none-none,4,10,1,120,138841,1157
list-none-none,8,1,1,24,320359,13348
list-none-none,8,10,1,240,281372,1172
list-i-none,2,1,1,6,89573,14928
list-d-none,2,1,1,6,126896,21149
list-l-none,2,1,1,6,119331,19888
list-id-none,2,1,1,6,101657,16942
list-il-none,2,1,1,6,96284,16047
list-dl-none,2,1,1,6,103168,17194
list-i-none,2,2,1,12,91834,7652
list-d-none,2,2,1,12,134145,11178
list-id-none,2,2,1,12,114153,9512
list-il-none,2,2,1,12,106006,8833
list-dl-none,2,2,1,12,126796,10566
list-i-none,2,4,1,24,103710,4321
list-d-none,2,4,1,24,113959,4748
list-id-none,2,4,1,24,113586,4732
list-il-none,2,4,1,24,116153,4839
list-dl-none,2,4,1,24,108697,4529
list-i-none,2,8,1,48,99441,2071
list-d-none,2,8,1,48,115841,2413
list-l-none,2,8,1,48,139334,2902
list-id-none,2,8,1,48,104702,2181
list-il-none,2,8,1,48,166826,3475
list-dl-none,2,8,1,48,1291537,26907
list-i-none,2,16,1,96,119806,1247
list-d-none,2,16,1,96,118368,1233
list-l-none,2,16,1,96,230786,2404
list-id-none,2,16,1,96,149526,1557
list-il-none,2,16,1,96,264497,2755
list-dl-none,2,16,1,96,275347,2868
list-i-none,2,32,1,192,196872,1025
list-l-none,2,32,1,192,588652,3065
list-id-none,2,32,1,192,234703,1222
list-il-none,2,32,1,192,648037,3375
list-dl-none,2,32,1,192,662610,3451
list-i-none,4,1,1,12,163141,13595
list-d-none,4,1,1,12,162304,13525
list-id-none,4,1,1,12,164081,13673
list-il-none,4,1,1,12,133247,11103
list-l-none,4,2,1,24,164423,6850
list-il-none,4,2,1,24,155025,6459
list-dl-none,4,2,1,24,138996,5791
list-l-none,4,4,1,48,162757,3390
list-id-none,4,4,1,48,145364,3028
list-d-none,4,8,1,96,170304,1774
list-il-none,4,8,1,96,244751,2549
list-il-none,4,16,1,192,448986,2338
list-dl-none,4,16,1,192,392943,2046
list-l-none,4,32,1,384,1060353,2761
list-id-none,4,32,1,384,351253,914
list-dl-none,4,32,1,384,1115180,2904
list-i-none,8,1,1,24,308298,12845
list-l-none,8,1,1,24,279907,11662
list-dl-none,8,1,1,24,244398,10183
list-d-none,8,2,1,48,257228,5358
list-l-none,8,2,1,48,269480,5614
list-il-none,8,2,1,48,285756,5953
list-dl-none,8,2,1,48,272683,5680
list-d-none,8,4,1,96,284725,2965
list-l-none,8,4,1,96,258438,2692
list-dl-none,8,8,1,192,347428,1809
list-l-none,8,16,1,384,753931,1963
list-l-none,8,32,1,768,2340827,3047
list-dl-none,8,32,1,768,2440559,3177
list-i-none,12,1,1,36,466089,12946
list-d-none,12,1,1,36,373428,10373
list-l-none,12,1,1,36,454879,12635
list-id-none,12,1,1,36,395037,10973
list-il-none,12,1,1,36,374670,10407
list-dl-none,12,1,1,36,407005,11305
list-l-none,12,2,1,72,365719,5079
list-id-none,12,2,1,72,354838,4928
list-il-none,12,2,1,72,387665,5384
list-l-none,12,4,1,144,370248,2571
list-dl-none,12,4,1,144,412233,2862
list-dl-none,12,32,1,1152,3522633,3057
list-i-m,12,32,1,1152,2512565,2181
list-i-s,12,32,1,1152,4274450,3710
list-d-m,12,32,1,1152,2536091,2201
list-d-s,12,32,1,1152,2870158,2491
list-l-m,12,32,1,1152,21817094,18938
list-l-s,12,32,1,1152,44001460,38195
list-id-m,12,32,1,1152,2970518,2578
list-id-s,12,32,1,1152,7510198,6519
list-il-m,12,32,1,1152,19006018,16498
list-il-s,12,32,1,1152,53819679,46718
list-dl-m,12,32,1,1152,17739206,15398
list-dl-s,12,32,1,1152,35313240,30653
list-none-none,1,1000,1,3000,3774787,1258
list-none-m,1,1000,1,3000,3852605,1284
list-none-s,1,1000,1,3000,3811286,1270
list-none-m,2,1000,1,6000,25224789,4204
list-none-s,2,1000,1,6000,34477375,5746
list-none-m,4,1000,1,12000,98460249,8205
list-none-s,4,1000,1,12000,218680250,18223
list-none-m,8,1000,1,24000,422173996,17590
list-none-s,8,1000,1,24000,845651813,35235
list-none-m,12,1000,1,36000,1156877886,32135
list-none-s,12,1000,1,36000,3452579338,95904
list-none-m,16,1000,1,48000,1932525286,40260
list-none-s,16,1000,1,48000,7632463123,159009
list-none-m,24,1000,1,72000,4852181287,67391
list-none-s,24,1000,1,72000,62525133219,868404
